,vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url
0,meds4ed,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,One 10 Pill Pack of Sildigra 150mg Viagra FREE USA,30.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/one-10-pill-pack-of-sildigra-150mg-viagra-free-usa
1,PostNL,Drugs and Chemicals,Psychedelics,LSD,LSD,1000 x 250ug LSD tabs (blotters),"2,385.41",Netherlands,Netherlands,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000-x-250ug-lsd-tabs-blotters
2,California420Service,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,Raw Garden Slurmberry Refined Live Resin 1.0g Cart,170.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/raw-garden-slurmberry-refined-live-resin-10g-cart
3,drkend,Drugs and Chemicals,Benzos,,Benzos,Buy Clonazolam Online (100G),"2,100.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-clonazolam-online-100g
4,PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,500g Apple Haze AAAA++ - UK,"4,726.77",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500g-apple-haze-aaaa-uk
5,fadedfork,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,140g blueberry tahoe x gsc,"1,501.44",United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/140g-blueberry-tahoe-x-gsc
6,ElizabethQueen2,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,7g Amensia Haze ***ElizabethQueen2***,55.61,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-amensia-haze-elizabethqueen2
7,NextLevel,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,30x 10mg Oxycodone Instant Release (HCL) Pharmacy!,125.30,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/30x-10mg-oxycodone-instant-release-hcl-pharmacy
8,auspride,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Pfizer Lyrica 300mg 56 caps Pregabalin,217.05,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pfizer-lyrica-300mg-56-caps-pregabalin
9,DailyPaper,Drugs and Chemicals,Stimulants,Crack,Crack,0.5 Gr - Pure Colombian Crack Cocaine 89% [UNCUT],35.80,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05-gr-pure-colombian-crack-cocaine-89-uncut
10,Everylittlehalps,Drugs and Chemicals,Psychedelics,LSD,LSD,FREE DELIVERY 💎 1x LSD TABS 300UG 💎 UK-UK,12.51,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/free-delivery-1x-lsd-tabs-300ug-uk-uk
11,ukcartel1,Drugs and Chemicals,Ecstasy,Pills,Pills,x2 Dom Perignon MDMA pills 220MG,13.90,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/x2-dom-perignon-mdma-pills-220mg
12,ubercocaine,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,(28 gram) AMNESIA HAZE CANNABIS / WEED UK NDD,457.38,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28-gram-amnesia-haze-cannabis-weed-uk-ndd
13,pharmatec,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,Merc Stamped Pollen Hash - 28 Grams = 235 GBP,326.70,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/merc-stamped-pollen-hash-28-grams-235-gbp
14,dexterslabs,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,0.7g 90% Pure Premium Cocaine Coke Top Quality AAA,97.32,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/07g-90-pure-premium-cocaine-coke-top-quality-aaa
15,Germanapotheke,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1gr Power Flower AAA+++,14.90,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1gr-power-flower-aaa
16,DoctorXXL,Drugs and Chemicals,Stimulants,Meth,Meth,PROMO* Crystal Meth Shards 75% Ephedrine *10 Gram*,298.32,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/promo-crystal-meth-shards-75-ephedrine-10-gram
17,bulkbars,Drugs and Chemicals,Ecstasy,,Ecstasy,XTC X500 PUNISHER PILLS 220mg(Dutch Grade) USA-USA,"3,000.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xtc-x500-punisher-pills-220mgdutch-grade-usa-usa
18,FrankCostello,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Oxycontin 3x 80mg (oxycodone) Xpress Post,47.81,Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycontin-3x-80mg-oxycodone-xpress-post-5
19,drugsukstore,Drugs and Chemicals,,,Drugs and Chemicals,28g AMNESIA HAZE CANNABIS,424.02,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-amnesia-haze-cannabis
20,Medicalking007,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Oxycodone Aurobindo ER 20 pills 10mg 60 euro,71.60,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycodone-aurobindo-er-20-pills-10mg-60-euro
21,kenza,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Temazepam 20mg x 30,90.36,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/temazepam-20mg-x-30
22,igogrraawwr,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,**NEW BATCH ** BLUES/M30s XTRA STRONG!,12.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/new-batch-bluesm30s-xtra-strong
23,richhigh999,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,OXYCODONE SANDOZ 80mg 28 PILLS ORIGINAL BLISTERS,420.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycodone-sandoz-80mg-28-pills-original-blisters
24,DoctorXXL,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,Cocaine Colombiana Fishscale 9/10 *1 GRAM,77.56,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/cocaine-colombiana-fishscale-910-1-gram
25,Worldtime,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1 POUND K-SRAIN,"1,500.00",,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-pound-k-srain
26,drugpluguk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,✶5G HIGH PURITY SOCIABLE COCAINE✶,271.09,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5g-high-purity-sociable-cocaine-1
27,Malavitoso,Drugs and Chemicals,Opiates,Heroin,Heroin,0.25g 1/4g #4 Heroin,50.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/025g-14g-4-heroin
28,Hofmanncrew,Drugs and Chemicals,Psychedelics,LSD,LSD,Customclass: parolento1332,44.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/customclass-parolento1332
29,THEPOSTMAN,Drugs and Chemicals,,,Drugs and Chemicals,10g G13 HAZE PREMIUM FLOWER (IMPORT) *FREE UK DEL,122.34,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10g-g13-haze-premium-flower-import-free-uk-del
30,WA2018,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,New strain! HP/225g Runtz AAA+ INDOOR,"1,080.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/new-strain-hp225g-runtz-aaa-indoor
31,Licensedbud,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,PurpleKush 7g+BlackDominaIndica 7g free shipping,115.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/purplekush-7gblackdominaindica-7g-free-shipping
32,drkend,Drugs and Chemicals,Stimulants,,Stimulants,Buy 4 MMC / 3 MMC (Mephedrone) online  (50g ),680.00,China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-4-mmc-3-mmc-mephedrone-online-50g
33,PSteroids,Drugs and Chemicals,Steroids,,Steroids,Melanotan-2 10mg / vial Hilma Biocare,29.62,Lithuania,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/melanotan-2-10mg-vial-hilma-biocare
34,worlwidegrind_official,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,1box 30x citalopram 20mg pills Mylan read descript,53.70,Greece,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1box-30x-citalopram-20mg-pills-mylan-read-descript
35,colombiandrugz,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1G COCAIN EXTRA ++++ sent -12H,85.92,France,France,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-cocain-extra-sent-12h
36,DutchDrugs,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,10gr Pure AAA+ Cocaine 92%,715.98,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10gr-pure-aaa-cocaine-92
37,topmoneymaker,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,1x Legendary 500mg Gummy Bag (12 Pieces Per Bag),21.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1x-legendary-500mg-gummy-bag-12-pieces-per-bag
38,DutchGlory,Drugs and Chemicals,Opiates,Heroin,Heroin,"★ 0,5 G AFGHAN HEROIN 100% PURE HQ ★",23.87,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05-g-afghan-heroin-100-pure-hq-2
39,COCALERO,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,9g PERUVIAN COCAINE UNCUT,644.38,Germany,"Austria, Belgium, Czech Republic, Germany, France, Croatia, Poland",http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/9g-peruvian-cocaine-uncut
40,TheCakeShop,Drugs and Chemicals,Stimulants,Meth,Meth,Connoisseur Grade Methamphetamine 1 Gram,75.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/connoisseur-grade-methamphetamine-1-gram
41,RoleXx17,Drugs and Chemicals,Psychedelics,LSD,LSD,10 X LSD 250UG ALBERT HOFMANN NEEDLEPOINT BLOTTERS,50.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-x-lsd-250ug-albert-hofmann-needlepoint-blotters
42,TonysDrugsStore,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Royal Kush 56 gram,528.29,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/royal-kush-56-gram
43,flow,Drugs and Chemicals,Ecstasy,MDMA,MDMA,1G MDMA :),73.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-mdma
44,BritishStandard,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,900x m30 oxycodone mallinckrodt pharmaceuticals,"2,690.09",United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/900x-m30-oxycodone-mallinckrodt-pharmaceuticals
45,auspride,Drugs and Chemicals,Opiates,Heroin,Heroin,Heroin White Powder Turkish Import (1 gram),317.82,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/heroin-white-powder-turkish-import-1-gram
46,bulkbars,Drugs and Chemicals,Benzos,,Benzos,XANAX 3MG HULKS S903 X500 BARS USA-USA,350.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-3mg-hulks-s903-x500-bars-usa-usa
47,pluguk,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,+ RICK SIMPSON oil 0.2 g (INTRO £3 offer  ++,4.17,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/rick-simpson-oil-02-g-intro-3-offer
48,thisisAustralia,Drugs and Chemicals,Opiates,,Opiates,Tapentadol 200mg ER x 100,503.09,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/tapentadol-200mg-er-x-100
49,CanadianSmoker12,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,4oz A+++ MoonRocks,950.00,,North America,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/4oz-a-moonrocks
50,TulipNL,Drugs and Chemicals,Ecstasy,Pills,Pills,10x 🇳🇱 260MG - MyBrand - AAA+++ XTC PILLS,22.67,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10x-260mg-mybrand-aaa-xtc-pills
51,Heroinfactoryy,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,500 GR Pure Dutch Homegrown Amnesia / Haze Weed,"3,281.57",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500-gr-pure-dutch-homegrown-amnesia-haze-weed
52,FunnyBones,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,ONE OUNCE PSYCHEDELIC MUSHROOMS,140.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/one-ounce-psychedelic-mushrooms
53,DrRelax,Drugs and Chemicals,Ecstasy,Pills,Pills,Xanax XR 2mg Tablets 50 x 2mg,69.51,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-xr-2mg-tablets-50-x-2mg
54,messiah,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,*30/80MG* PURE Oxycodone DIRECT PHARMACY 600PILLS,"5,100.00",,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/3080mg-pure-oxycodone-direct-pharmacy-600pills
55,RXChemist,Drugs and Chemicals,,,Drugs and Chemicals,SERTRALINE (zoloft) Sertafine 100 mg 50 tabs,25.00,India,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/sertraline-zoloft-sertafine-100-mg-50-tabs
56,DrugsCenter,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,5g DC Pollen HashDC  (( Mid Quality )),18.07,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5g-dc-pollen-hashdc-mid-quality
57,dutchdrogasales,Drugs and Chemicals,,,Drugs and Chemicals,10x Purple Defqon XTC Pills 250MG,28.64,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10x-purple-defqon-xtc-pills-250mg
58,Looneytunes,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,3 Grams Cookie Glue Crumble AAA+ Free Shipping!,85.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/3-grams-cookie-glue-crumble-aaa-free-shipping
59,MadeInFrance,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Oxycontin LP/SR (Oxycodone) 5 x 80 mg,170.50,France,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycontin-lpsr-oxycodone-5-x-80-mg
60,ubercocaine,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,-  0.5 gram  - COLOMBIAN FLAKE 90% BY UBER COCAINE,62.56,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05-gram-colombian-flake-90-by-uber-cocaine
61,PostNL,Drugs and Chemicals,Opiates,Heroin,Heroin,5 grams High Quality Uncut Pure Afghan Heroin #3,142.00,Netherlands,Netherlands,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-grams-high-quality-uncut-pure-afghan-heroin-3
62,ukgroup,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,56G GIRL SCOUT COOKIE CALI WEED,736.82,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/56g-girl-scout-cookie-cali-weed-2
63,dmtking,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,5 GRAM MCKENNAII   (DRY),32.22,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-gram-mckennaii-dry
64,RoleXx17,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,1 Gr grams Ketamine shards 99% pure,29.83,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gr-grams-ketamine-shards-99-pure
65,blond4263M,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,EZ Sativa Marijuana Buds 1/2 Ounce (14 grams),35.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/ez-sativa-marijuana-buds-12-ounce-14-grams
66,ShinyFlakez,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,100 Gr Hash/Skuff,560.85,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-gr-hashskuff
67,Fairfax,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,100g CBD Weed (100% LEGAL) Germany -> Worldwide,89.00,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100g-cbd-weed-100-legal-germany-worldwide
68,drugpluguk,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,✶14g GIRL SCOUT COOKIE CALI WEED✶,215.48,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-girl-scout-cookie-cali-weed-1
69,fererokusk,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,★★★ PINEAPPLE GLUE ★★★ 1 G,14.50,France,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pineapple-glue-1-g
70,ldnexpert,Drugs and Chemicals,Benzos,Pills,Pills,Pfizer Xanax 0.5mg Genuine Alprazolam Box of 30,62.56,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pfizer-xanax-05mg-genuine-alprazolam-box-of-30
71,flow,Drugs and Chemicals,Stimulants,,Stimulants,10 X 30MG ADDERALL,70.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-x-30mg-adderall
72,PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,14g Sour Banana AAAA++ - UK,208.53,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-sour-banana-aaaa-uk
73,NightlifeKings,Drugs and Chemicals,Stimulants,Speed,Speed,0.5 Grams Normal Amphetamine Speed Powder,5.97,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05-grams-normal-amphetamine-speed-powder
74,kandykones,Drugs and Chemicals,Cannabis & Hash,Shake,Shake,3.5g Cali Import Mint Kush Shake/Dust - UK ONLY,27.80,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35g-cali-import-mint-kush-shakedust-uk-only
75,exclusivepharma,Drugs and Chemicals,Opiates,Codeine,Codeine,Co-Codamol 30/500mg 100 TABS,62.56,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/co-codamol-30500mg-100-tabs
76,positivevibes420,Drugs and Chemicals,,,Drugs and Chemicals,1 OZ GUSHERS TOP SHELF FROM DISPENSARY!,185.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-oz-gushers-top-shelf-from-dispensary
77,FrankMatthews,Drugs and Chemicals,Stimulants,Meth,Meth,Crystal Meth 99% Ephedrine -6gr-,244.63,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/crystal-meth-99-ephedrine-6gr
78,neighborjimi,Drugs and Chemicals,Psychedelics,LSD,LSD,100x ★ Mayan Calendar ★ 200ug LSD tabs ★ HQ ★Clean,268.49,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100x-mayan-calendar-200ug-lsd-tabs-hq-clean
79,California420Service,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,SUNDAY DRIVER AAA+ PRIVATE RESERVE 14G,180.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/sunday-driver-aaa-private-reserve-14g
80,TheRxPharma,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,300 PILLS TRAMADOL 100 MG 325 USD US-US,325.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/300-pills-tramadol-100-mg-325-usd-us-us
81,pureau,Drugs and Chemicals,Ecstasy,MDMA,MDMA,28G MDMA EUROPEAN IMPORT HIGH PURITY CRYSTAL,"1,705.38",Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-mdma-european-import-high-purity-crystal
82,mrfrank,Drugs and Chemicals,Stimulants,Adderal,Adderal,DEXTROAMPHETAMINE - DEXEDRINE 10x 10mg IR Tablets,200.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/dextroamphetamine-dexedrine-10x-10mg-ir-tablets
83,DoctorXXL,Drugs and Chemicals,Stimulants,Speed,Speed,PROMO *Speed Amphetamine paste *100 Grams* TQ,89.50,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/promo-speed-amphetamine-paste-100-grams-tq
84,bionik,Drugs and Chemicals,Benzos,,Benzos,Valium Bensedin 10 mg x 50 pills x 200,200.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/valium-bensedin-10-mg-x-50-pills-x-200
85,PlanetHollywood,Drugs and Chemicals,Stimulants,Meth,Meth,1g Crystal Meth - AAA Methamphetamine,30.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-crystal-meth-aaa-methamphetamine
86,godelicious,Drugs and Chemicals,Benzos,,Benzos,25 x 1 mg Rohypnol / Flunitrazepam,95.45,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-x-1-mg-rohypnol-flunitrazepam
87,DutchPharmacy,Drugs and Chemicals,Stimulants,Speed,Speed,10 GRAM 94% PURE  SPEED AMPHETAMINE PASTA,53.70,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-gram-94-pure-speed-amphetamine-pasta
